grp_id,soil_series,soil_series_id,grp_properties,grp_resourcefullness,grp_properties_upper_organic,grp_properties_upper_N,grp_properties_upper_P,grp_properties_upper_K,grp_properties_upper_pH,grp_properties_lower_organic,grp_properties_lower_N,grp_properties_lower_P,grp_properties_lower_K,grp_properties_lower_pH,grp_properties_upper_pH_upper,grp_properties_upper_pH_lower,grp_properties_lower_pH_upper,grp_properties_lower_pH_lower,grp_awc,grp_awc_lst,grp_awc_min,grp_awc_max,grp_awc_avg
33,"ชุดดินดงยางเอน (Don) ชุดดินกำแพงเพชร 
                        (Kp) ชุดดินกำแพงแสน (Ks) ชุดดินลำสนธิ (Ls) ชุดดินน้ำดุก 
                        (Nd) ชุดดินธาตุพนม (Tp) ชุดดินตะพานหิน (Tph)หรือดินคล้ายอื่นๆ 
                        ที่มีลักษณะและสมบัติจัดอยู่ในกลุ่มชุดดินนี้","['Don', 'Kp', 'Ks', 'Ls', 'Nd', 'Tp']","เป็นกลุ่มชุดดินที่มีวัตถุต้นกำเนิดดินเป็นพวกตะกอนลำน้ำ 
                        พบบนสันดินริมน้ำเก่า เนินตะกอนรูปพัด หรือที่ราบตะกอนน้ำพา 
                        พบบริเวณพื้นที่ดอนที่มีสภาพพื้นที่ค่อนข้างราบเรียบถึงเป็นลูกคลื่นลอนลาด 
                        เป็นดินลึกมาก การระบายน้ำดีถึงดีปานกลาง เนื้อดินเป็นพวกดินทรายแป้งหรือดินร่วนละเอียด 
                        สีดินเป็น สีน้ำตาล หรือสีน้ำตาลปนแดง บางแห่งในดินล่างลึกๆ 
                        มีจุดประสีเทาและสีน้ำตาล อาจมีแร่ไมกาหรือก้อนปูนปะปนอยู่ด้วย 
                        ดินชั้นบนมักมีปฏิกิริยาเป็นกรดปานกลางถึงเป็นกลาง ส่วนชั้นดินล่าง 
                        ถ้ามีก้อนปูนปะปน มีปฏิกิริยาเป็นกลางถึงเป็นด่างจัด มีค่าความเป็นกรดเป็นด่างประมาณ 
                        7.0-8.5",ปานกลาง,2.6,0.13,98.7,272.8,"[6.0, 7.0]",1.9,0.095,43.1,195.4,"[7.0, 8.5]",7.0,6.0,8.5,7.0,"มีค่าระหว่าง 19.04-21.80 
                        เปอร์เซ็นต์โดยน้ำหนัก เฉลี่ย 20.37 เปอร์เซ็นต์โดยน้ำหนัก 
                        ภายในความลึก 120 เซนติเมตร จากผิวหน้าดิน
                        (หมายเหตุ ปริมาณน้ำที่พืชใช้ประโยชน์ได้ หมายถึงผลต่างของความชื้นความจุสนามมีค่าพลังงาน 
                        -33 กิโลพาสคาล และความชื้นที่จุดเหี่ยวถาวรมีค่าพลังงาน 
                        -1,500 กิโลพาสคาล)","['19.04', '21.80', '20.37', '120', '33', '1,500']",19.04,21.80,20.37
34,"ชุดดินฉลอง (Chl) ชุดดินฝั่งแดง 
                        (Fd) ชุดดินควนกาหลง (Kkl) ชุดดินคลองท่อม (Km) ชุดดินคลองนกกระทุง 
                        (Knk) ชุดดินละหาน (Lh) ชุดดินนาท่าม (Ntm) ชุดดินท่าแซะ 
                        (Te)หรือดินคล้ายอื่นๆ ที่มีลักษณะและสมบัติจัดอยู่ในกลุ่มชุดดินนี้","['Chl', 'Fd', 'Kkl', 'Km', 'Knk', 'Lh', 'Ntm']","เป็นกลุ่มชุดดินที่พบในเขตฝนตกชุก 
                        เช่น ภาคใต้ ภาคตะวันออก เกิดจากวัตถุต้นกำเนิดดินพวกตะกอนลำน้ำ 
                        หรือจากการสลายตัวผุพังอยู่กับที่ หรือจากการสลายตัวผุพังแล้วถูกเคลื่อนย้ายมาทับถม 
                        ของวัสดุเนื้อหยาบที่มาจากพวกหินอัคนี หรือหินตะกอน พบบริเวณพื้นที่ดอน 
                        ที่มีสภาพพื้นที่ค่อนข้างราบเรียบถึงเป็นเนินเขา เป็นดินลึกมาก 
                        มีการระบายน้ำดีถึงดีปานกลาง มีเนื้อดินเป็นพวกดินร่วนละเอียดที่มีเนื้อดินบนเป็นดินร่วนปนทราย 
                        ส่วนดินล่างเป็นดินร่วนเหนียวปนทราย สีดินเป็นสีน้ำตาล สีเหลืองหรือสีแดง 
                        ดินมีความอุดมสมบูรณ์ตามธรรมชาติต่ำ ปฏิกิริยาดินเป็นกรดจัดมากถึงกรดจัด",ต่ำ,1.2,0.06,2.3,30.3,"[5.0, 5.5]",0.8,0.04000000000000001,2.1,23.1,"[4.5, 5.0]",5.5,5.0,5.0,4.5,"มีค่าระหว่าง 11.09-15.83 
                        เปอร์เซ็นต์โดยน้ำหนัก เฉลี่ย 13.68 เปอร์เซ็นต์โดยน้ำหนัก 
                        ภายในความลึก 120 เซนติเมตร จากผิวหน้าดิน
                        (หมายเหตุ ปริมาณน้ำที่พืชใช้ประโยชน์ได้ หมายถึงผลต่างของความชื้นความจุสนามมีค่าพลังงาน 
                        -33 กิโลพาสคาล และความชื้นที่จุดเหี่ยวถาวรมีค่าพลังงาน 
                        -1,500 กิโลพาสคาล)","['11.09', '15.83', '13.68', '120', '33', '1,500']",11.09,15.83,13.68
35,"ชุดดินดอนไร่ (Dr) ชุดดินด่านซ้าย 
                        (Ds) ชุดดินห้างฉัตร (Hc) ชุดดินโคราช (Kt) ชุดดินมาบบอน 
                        (Mb) ชุดดินสตึก (Suk) ชุดดินวาริน (Wn) ชุดดินยโสธร (Yt)หรือดินคล้ายอื่นๆ 
                        ที่มีลักษณะและสมบัติจัดอยู่ในกลุ่มชุดดินนี้","['Dr', 'Ds', 'Hc', 'Kt', 'Mb', 'Suk', 'Wn']","เป็นกลุ่มชุดดินที่เกิดจากวัตถุต้นกำเนิดดินพวกตะกอนลำน้ำ 
                        หรือการสลายตัวผุพังอยู่กับที่ หรือการสลายตัวผุพังแล้วถูกเคลื่อนย้ายมาทับถม 
                        ของวัสดุเนื้อหยาบที่ส่วนใหญ่มาจากหินตะกอน พบบริเวณพื้นที่ดอน 
                        ที่มีสภาพพื้นที่เป็นลูกคลื่นจนถึงเนินเขา หรือเป็นพื้นที่ภูเขา 
                        เป็นดินลึก มีการระบายน้ำดีถึงดีปานกลาง เนื้อดินเป็นพวกดินร่วนละเอียดที่มีเนื้อดินบนเป็นดินร่วนปนทราย 
                        ส่วนดินล่างเป็นดินร่วนเหนียวปนทราย ดินมีสีน้ำตาล สีเหลืองหรือแดง 
                        และอาจพบจุดประสีต่างๆ ในชั้นดินล่าง ปฏิกิริยาดินเป็นกรดจัดมากถึงเป็นกรดปานกลาง",ต่ำ,0.5,0.025,18.2,37.0,"[5.0, 6.0]",0.4,0.020000000000000004,15.4,35.0,"[4.5, 5.5]",6.0,5.0,5.5,4.5,"มีค่าระหว่าง 11.22-15.97 
                        เปอร์เซ็นต์โดยน้ำหนัก เฉลี่ย 14.10 เปอร์เซ็นต์โดยน้ำหนัก 
                        ภายในความลึก 120 เซนติเมตร จากผิวหน้าดิน
                        (หมายเหตุ ปริมาณน้ำที่พืชใช้ประโยชน์ได้ หมายถึงผลต่างของความชื้นความจุสนามมีค่าพลังงาน 
                        -33 กิโลพาสคาล และความชื้นที่จุดเหี่ยวถาวรมีค่าพลังงาน 
                        -1,500 กิโลพาสคาล)","['11.22', '15.97', '14.10', '120', '33', '1,500']",11.22,15.97,14.10
36,"ชุดดินเพชรบูรณ์ (Pe) ชุดดินปราณบุรี 
                        (Pr) ชุดดินสีคิ้ว (Si)หรือดินคล้ายอื่นๆ ที่มีลักษณะและสมบัติจัดอยู่ในกลุ่มชุดดินนี้","['Pe', 'Pr']","เป็นกลุ่มชุดดินที่เกิดจากวัตถุต้นกำเนิดดินพวกตะกอนลำน้ำ 
                        หรือการสลายตัวผุพังอยู่กับที่ หรือการสลายตัวผุพังแล้วถูกเคลื่อนย้ายมาทับถม 
                        ของวัสดุเนื้อหยาบ พบบริเวณพื้นที่ดอน ที่มีสภาพพื้นที่เป็นลูกคลื่นลอนลาดจนถึงเนินเขา 
                        เป็นดินลึก มีการระบายน้ำดีถึงดีปานกลาง มีเนื้อดินเป็นพวกดินร่วนละเอียดที่มีเนื้อดินบนเป็นดินร่วนปนทราย 
                        หรือดินร่วน ส่วนดินล่างเป็นดินร่วนเหนียวปนทรายหรือดินร่วนเหนียว 
                        ดินมีสีน้ำตาล สีเหลืองหรือสีแดง และอาจพบจุดประสีต่างๆ 
                        ในชั้นดินล่าง ดินมีความอุดมสมบูรณ์ตามธรรมชาติค่อนข้างต่ำถึงปานกลาง 
                        ดินชั้นบนส่วนใหญ่จะมีปฏิกิริยาเป็นกรดจัดถึงเป็นกลาง ส่วนดินล่างจะมีปฏิกิริยาดินเป็นกรดปานกลางถึงเป็นด่างปานกลาง",ต่ำถึงปานกลาง,1.3,0.065,3.5,70.8,"[5.5, 7.0]",1.1,0.05500000000000001,9.1,68.3,"[6.0, 8.0]",7.0,5.5,8.0,6.0,"มีค่าระหว่าง 13.52-21.60 
                        เปอร์เซ็นต์โดยน้ำหนัก เฉลี่ย 17.39 เปอร์เซ็นต์โดยน้ำหนัก 
                        ภายในความลึก 120 เซนติเมตร จากผิวหน้าดิน
                        (หมายเหตุ ปริมาณน้ำที่พืชใช้ประโยชน์ได้ หมายถึงผลต่างของความชื้นความจุสนามมีค่าพลังงาน 
                        -33 กิโลพาสคาล และความชื้นที่จุดเหี่ยวถาวรมีค่าพลังงาน 
                        -1,500 กิโลพาสคาล)","['13.52', '21.60', '17.39', '120', '33', '1,500']",13.52,21.60,17.39
37,"ชุดดินบ่อไทย (Bo) ชุดดินนาคู 
                        (Nu) และชุดดินทับเสลา (Tas)หรือดินคล้ายอื่นๆ ที่มีลักษณะและสมบัติจัดอยู่ในกลุ่มชุดดินนี้","['Bo', 'Nu']","เป็นกลุ่มชุดดินที่เกิดจากวัตถุต้นกำเนิดดินพวกตะกอนลำน้ำ 
                        หรือการสลายตัวผุพังอยู่กับที่ หรือการสลายตัวผุพังแล้วถูกเคลื่อนย้ายมาทับถม 
                        ของวัสดุเนื้อหยาบ วางทับอยู่บนชั้นหินผุหรือชั้นดินเหนียว 
                        พบบริเวณพื้นที่ดอน ที่มีสภาพพื้นที่เป็นลูกคลื่นลอนลาดเล็กน้อย 
                        เป็นดินลึก มีการระบายน้ำดีปานกลาง เนื้อดินบนเป็นดินทรายปนดินร่วน 
                        ส่วนดินชั้นล่างในระดับความลึก 50-100 ซม. เป็นดินเหนียว 
                        ดินเหนียวปนเศษหิน หรือเป็นชั้นหินผุ สีดินบนเป็นสีน้ำตาล 
                        ดินล่างเป็นสีน้ำตาลปนเทา บางแห่งมีจุดประสีแดงและมีศิลาแลงอ่อนปะปนอยู่จำนวนมาก 
                        ดินมีความอุดมสมบูรณ์ตามธรรมชาติต่ำ ปฏิกิริยาดินเป็นกรดจัดมากถึงเป็นกรดปานกลาง",ต่ำ,1.3,0.065,6.8,94.3,"[5.0, 6.0]",1.3,0.065,7.8,90.9,"[5.5, 6.0]",6.0,5.0,6.0,5.5,"มีค่าระหว่าง 5.11-10.09 
                        เปอร์เซ็นต์โดยน้ำหนัก เฉลี่ย 8.11 เปอร์เซ็นต์โดยน้ำหนัก 
                        ภายในความลึก 120 เซนติเมตร จากผิวหน้าดิน
                        (หมายเหตุ ปริมาณน้ำที่พืชใช้ประโยชน์ได้ หมายถึงผลต่างของความชื้นความจุสนามมีค่าพลังงาน 
                        -33 กิโลพาสคาล และความชื้นที่จุดเหี่ยวถาวรมีค่าพลังงาน 
                        -1,500 กิโลพาสคาล)","['5.11', '10.09', '8.11', '120', '33', '1,500']",5.11,10.09,8.11
38,"ชุดดินเชียงใหม่ (Cm) ชุดดินชุมพลบุรี 
                        (Chp) ชุดดินดอนเจดีย์ (Dc) ชุดดินไทรงาม (Sg) ชุดดินท่าม่วง 
                        (Tm)หรือดินคล้ายอื่นๆ ที่มีลักษณะและสมบัติจัดอยู่ในกลุ่มชุดดินนี้","['Cm', 'Chp', 'Dc', 'Sg']","เป็นกลุ่มชุดดินที่มีวัตถุต้นกำเนิดดินเป็นพวกตะกอนลำน้ำ 
                        ที่มีลักษณะการทับถมเป็นชั้นๆของตะกอนลำน้ำในแต่ละช่วงเวลา 
                        พบบนสันดินริมน้ำ หรือที่ราบตะกอนน้ำพา เป็นพื้นที่ดอน ที่มีสภาพพื้นที่ค่อนข้างราบเรียบ 
                        เป็นดินลึก มีการระบายน้ำดีถึงดีปานกลาง เนื้อดินเป็นพวกดินร่วนหรือดินร่วนหยาบ 
                        สีดินเป็นสีน้ำตาลอ่อน อาจพบจุดประสีเทาและสีน้ำตาลในชั้นดินล่าง 
                        ในบางบริเวณมีแร่ไมกาหรือก้อนปูนปะปนอยู่ด้วย ปฏิกิริยาดินเป็นกรดเล็กน้อยถึงเป็นกลาง",ปานกลาง,1.4,0.06999999999999999,3.2,103.8,"[6.5, 7.0]",1.7,0.085,17.1,100.0,"[6.5, 7.0]",7.0,6.5,7.0,6.5,"มีค่าระหว่าง 4.99-22.08 
                        เปอร์เซ็นต์โดยน้ำหนัก เฉลี่ย 13.46 เปอร์เซ็นต์โดยน้ำหนัก 
                        ภายในความลึก 120 เซนติเมตร จากผิวหน้าดิน มีค่าระหว่าง 
                        4.99-22.08 เปอร์เซ็นต์โดยน้ำหนัก เฉลี่ย 13.46 เปอร์เซ็นต์โดยน้ำหนัก 
                        ภายในความลึก 120 เซนติเมตร จากผิวหน้าดิน
                        (หมายเหตุ ปริมาณน้ำที่พืชใช้ประโยชน์ได้ หมายถึงผลต่างของความชื้นความจุสนามมีค่าพลังงาน 
                        -33 กิโลพาสคาล และความชื้นที่จุดเหี่ยวถาวรมีค่าพลังงาน 
                        -1,500 กิโลพาสคาล)","['4.99', '22.08', '13.46', '120', '4.99', '22.08', '13.46', '120', '33', '1,500']",4.99,22.08,13.46
39,"ชุดดินคอหงษ์ (Kh) ชุดดินนาทวี 
                        (Nat) ชุดดินสะเดา (Sd) ชุดดินทุ่งหว้า (Tg)หรือดินคล้ายอื่นๆ 
                        ที่มีลักษณะและสมบัติจัดอยู่ในกลุ่มชุดดินนี้","['Kh', 'Nat', 'Sd']","เป็นกลุ่มชุดดินที่พบในเขตฝนตกชุก 
                        เช่น ภาคใต้ ภาคตะวันออก เกิดจากวัตถุต้นกำเนิดดินพวกตะกอนลำน้ำ 
                        หรือจากการสลายตัวผุพังอยู่กับที่ หรือจากการสลายตัวผุพังแล้วถูกเคลื่อนย้ายมาทับถม 
                        ของวัสดุเนื้อหยาบที่มาจากพวกหินอัคนี หรือหินตะกอน พบบริเวณพื้นที่ดอน 
                        ที่มีสภาพพื้นที่ค่อนข้างราบเรียบถึงเป็นเนินเขา เป็นดินลึก 
                        ที่มีการระบายน้ำดีถึงดีปานกลาง เนื้อดินเป็นพวกดินร่วนหยาบ 
                        สีดินเป็นสีน้ำตาล สีเหลืองหรือสีแดง และอาจพบจุดประสีต่างๆ 
                        ในชั้นดินล่าง ดินมีความอุดมสมบูรณ์ตามธรรมชาติต่ำ ปฏิกิริยาดินเป็นกรดจัดมากถึงกรดจัด",ต่ำ,1.6,0.08000000000000002,1.8,16.9,"[5.0, 5.5]",1.0,0.05,1.3,13.0,"[5.0, 5.5]",5.5,5.0,5.5,5.0,"มีค่าระหว่าง 6.52-10.85 
                        เปอร์เซ็นต์โดยน้ำหนัก เฉลี่ย 7.76 เปอร์เซ็นต์โดยน้ำหนัก 
                        ภายในความลึก 120 เซนติเมตร จากผิวหน้าดิน
                        (หมายเหตุ ปริมาณน้ำที่พืชใช้ประโยชน์ได้ หมายถึงผลต่างของความชื้นความจุสนามมีค่าพลังงาน 
                        -33 กิโลพาสคาล และความชื้นที่จุดเหี่ยวถาวรมีค่าพลังงาน 
                        -1,500 กิโลพาสคาล)","['6.52', '10.85', '7.76', '120', '33', '1,500']",6.52,10.85,7.76
40,"ชุดดินจักราช (Ckr) ชุดดินชุมพวง 
                        (Cpg) ชุดดินหุบกระพง (Hg) ชุดดินห้วยแถลง (Ht) ชุดดินสันป่าตอง 
                        (Sp) ชุดดินยางตลาด (Yl)หรือดินคล้ายอื่นๆ ที่มีลักษณะและสมบัติจัดอยู่ในกลุ่มชุดดินนี้","['Ckr', 'Cpg', 'Hg', 'Ht', 'Sp']","เป็นกลุ่มชุดดินที่เกิดจากวัตถุต้นกำเนิดดินพวกตะกอนลำน้ำ 
                        หรือจากการสลายตัวผุพังอยู่กับที่ หรือจากการสลายตัวผุพังแล้วถูกเคลื่อนย้ายมาทับถม 
                        ของพวกวัสดุเนื้อหยาบ เป็นพื้นที่ดอน ที่มีสภาพพื้นที่เป็นลูกคลื่นจนถึงเนินเขา 
                        หรือเป็นพื้นที่ภูเขา เป็นดินลึก มีการระบายน้ำดี เนื้อดินเป็นพวกดินร่วนหยาบ 
                        ดินมีสีน้ำตาล สีเหลืองหรือแดง และอาจพบจุดประสีต่างๆ ในชั้นดินล่าง 
                        ปฏิกิริยาดินเป็นกรดจัดมากถึงเป็นกรดปานกลาง",ต่ำ,0.5,0.025,2.9,78.0,"[5.0, 6.0]",0.4,0.020000000000000004,2.4,70.2,"[5.0, 6.0]",6.0,5.0,6.0,5.0,"มีค่าระหว่าง 6.68-9.53 
                        เปอร์เซ็นต์โดยน้ำหนัก เฉลี่ย 8.15 เปอร์เซ็นต์โดยน้ำหนัก 
                        ภายในความลึก 120 เซนติเมตร จากผิวหน้าดิน
                        (หมายเหตุ ปริมาณน้ำที่พืชใช้ประโยชน์ได้ หมายถึงผลต่างของความชื้นความจุสนามมีค่าพลังงาน 
                        -33 กิโลพาสคาล และความชื้นที่จุดเหี่ยวถาวรมีค่าพลังงาน 
                        -1,500 กิโลพาสคาล)","['6.68', '9.53', '8.15', '120', '33', '1,500']",6.68,9.53,8.15
41,"ชุดดินบ้านไผ่ (Bpi) ชุดดินคำบง 
                        (Kg) ชุดดินมหาสารคาม (Msk)หรือดินคล้ายอื่นๆ ที่มีลักษณะและสมบัติจัดอยู่ในกลุ่มชุดดินนี้","['Bpi', 'Kg']","เป็นกลุ่มชุดดินที่เกิดจากการสลายตัวผุพังอยู่กับที่ 
                        หรือจากการสลายตัวผุพังแล้วถูกเคลื่อนย้ายมาทับถม ของพวกวัสดุเนื้อหยาบ 
                        หรือจากวัตถุต้นกำเนิดดินพวกตะกอนลำน้ำหรือวัตถุน้ำพาจากบริเวณที่สูง 
                        วางทับอยู่บนชั้นดินร่วนหยาบหรือร่วนละเอียด พบในบริเวณพื้นที่ดอน 
                        ที่มีสภาพพื้นที่ค่อนข้างราบเรียบถึงลูกคลื่นลอดลาด เป็นดินลึก 
                        มีการระบายน้ำดีถึงดีปานกลาง เนื้อดินช่วง 50-100 ซม. เป็นดินทรายหรือดินทรายปนดินร่วน 
                        ส่วนชั้นดินถัดลงไปเป็นดินร่วนปนทราย และดินร่วนเหนียวปนทราย 
                        สีดินเป็นสีน้ำตาลอ่อน หรือสีเหลืองปนสีน้ำตาล พบจุดประสีต่างๆ 
                        ในดินชั้นล่าง ดินมีความอุดมสมบูรณ์ตามธรรมชาติต่ำ ชั้นดินบนมีปฏิกิริยาดินเป็นกรดจัดถึงเป็นกรดเล็กน้อย 
                        ส่วนในดินล่าง ปฏิกิริยาดินเป็นกรดเล็กน้อยถึงเป็นด่างปานกลาง",ต่ำ,0.2,0.010000000000000002,10.5,14.3,"[5.5, 6.5]",0.1,0.005000000000000001,5.8,12.2,"[6.5, 8.0]",6.5,5.5,8.0,6.5,"มีค่าระหว่าง 5.21-9.79 
                        เปอร์เซ็นต์โดยน้ำหนัก เฉลี่ย 6.47 เปอร์เซ็นต์โดยน้ำหนัก 
                        ภายในความลึก 120 เซนติเมตร จากผิวหน้าดิน
                        (หมายเหตุ ปริมาณน้ำที่พืชใช้ประโยชน์ได้ หมายถึงผลต่างของความชื้นความจุสนามมีค่าพลังงาน 
                        -33 กิโลพาสคาล และความชื้นที่จุดเหี่ยวถาวรมีค่าพลังงาน 
                        -1,500 กิโลพาสคาล)","['5.21', '9.79', '6.47', '120', '33', '1,500']",5.21,9.79,6.47
42,"ชุดดินบ้านทอน (Bh) หรือดินคล้ายอื่นๆ 
                        ที่มีลักษณะและสมบัติจัดอยู่ในกลุ่มชุดดินนี้",['Bh'],"เป็นกลุ่มชุดดินที่พบบริเวณหาดทรายเก่าหรือสันทรายชายทะเล 
                        เกิดจากตะกอนทรายชายทะเล พบบนพื้นที่ดอนที่มีสภาพพื้นที่ค่อนข้างราบเรียบถึงเป็นลูกคลื่นลอนลาดเล็กน้อย 
                        เป็นดินลึกปานกลางถึงชั้นดานอินทรีย์ มีการระบายน้ำดีปานกลาง 
                        เนื้อดินเป็นทรายจัด สีดินบนเป็นสีเทาแก่ ใต้ลงไปเป็นชั้นทรายสีขาว 
                        และดินล่าง ระหว่างความลึก 50-100 ซม. เป็นชั้นที่มีการสะสมของพวกอินทรียวัตถุ 
                        เหล็กหรือฮิวมัส สีน้ำตาล สีแดง ชั้นเหล่านี้มีการเชื่อมตัวกันแน่นแข็งเป็นชั้นดานอินทรีย์ 
                        มีความอุดมสมบูรณ์ตามธรรมชาติต่ำ ปฏิกิริยาดินเป็นกรดจัดมากถึงเป็นกรดปานกลาง",ต่ำ,1.8,0.09000000000000001,3.7,16.6,"[5.0, 6.0]",1.4,0.06999999999999999,2.3,12.3,"[5.0, 5.0]",6.0,5.0,5.0,5.0,"มีค่าระหว่าง 2.21-4.08 
                        เปอร์เซ็นต์โดยน้ำหนัก เฉลี่ย 2.87 เปอร์เซ็นต์โดยน้ำหนัก 
                        ภายในความลึก 120 เซนติเมตร จากผิวหน้าดิน
                        (หมายเหตุ ปริมาณน้ำที่พืชใช้ประโยชน์ได้ หมายถึงผลต่างของความชื้นความจุสนามมีค่าพลังงาน 
                        -33 กิโลพาสคาล และความชื้นที่จุดเหี่ยวถาวรมีค่าพลังงาน 
                        -1,500 กิโลพาสคาล)","['2.21', '4.08', '2.87', '120', '33', '1,500']",2.21,4.08,2.87
43,"ชุดดินบาเจาะ (Bc) ชุดดินดงตะเคียน 
                        (Dt) ชุดดินหัวหิน (Hh) ชุดดินหลังสวน (Lan) ชุดดินไม้ขาว 
                        (Mik) ชุดดินพัทยา (Py) ชุดดินระยอง (Ry) ชุดดินสัตหีบ (Sh)หรือดินคล้ายอื่นๆ 
                        ที่มีลักษณะและสมบัติจัดอยู่ในกลุ่มชุดดินนี้","['Bc', 'Dt', 'Hh', 'Lan', 'Mik', 'Py', 'Ry']","เป็นกลุ่มชุดดินที่พบในเขตฝนตกชุก 
                        เช่น ภาคใต้ ภาคตะวันออก หรือบริเวณชายฝั่งทะเล เกิดจากตะกอนทรายชายทะเล 
                        หรือจากการสลายตัวผุพังอยู่กับที่ หรือจากการสลายตัวผุพังแล้วถูกเคลื่อนย้ายมาทับถม 
                        ของพวกวัสดุเนื้อหยาบ มีสภาพพื้นที่ค่อนข้างราบเรียบหรือเป็นลูกคลื่นลอนลาด 
                        พบบริเวณหาดทราย สันทรายชายทะเล หรือบริเวณที่ลาดเชิงเขา 
                        เป็นดินลึก มีการระบายน้ำค่อนข้างมากเกินไป เนื้อดินเป็นพวกดินทราย 
                        ดินมีสีเทา สีน้ำตาลอ่อน หรือเหลือง ดินมีความอุดมสมบูรณ์ตามธรรมชาติต่ำ 
                        ปฏิกิริยาดินเป็นกรดปานกลางถึงเป็นกลาง ถ้าพบบริเวณสันทรายชายทะเลจะมีเปลือกหอยปะปนอยู่ในเนื้อดิน 
                        ปฏิกิริยาดินเป็นกรดเล็กน้อยถึงเป็นด่างปานกลาง",ต่ำ,0.6,0.03,4.0,44.0,"[6.0, 7.0]",0.4,0.020000000000000004,,39.5,"[6.5, 7.0]",7.0,6.0,7.0,6.5,"มีค่าระหว่าง 1.18-5.56 
                        เปอร์เซ็นต์โดยน้ำหนัก เฉลี่ย 3.20 เปอร์เซ็นต์โดยน้ำหนัก 
                        ภายในความลึก 120 เซนติเมตร จากผิวหน้าดิน
                        (หมายเหตุ ปริมาณน้ำที่พืชใช้ประโยชน์ได้ หมายถึงผลต่างของความชื้นความจุสนามมีค่าพลังงาน 
                        -33 กิโลพาสคาล และความชื้นที่จุดเหี่ยวถาวรมีค่าพลังงาน 
                        -1,500 กิโลพาสคาล)","['1.18', '5.56', '3.20', '120', '33', '1,500']",1.18,5.56,3.20
44,"ชุดดินจันทึก (Cu) ชุดดินด่านขุดทด 
                        (Dk) ชุดดินน้ำพอง (Ng)หรือดินคล้ายอื่นๆ ที่มีลักษณะและสมบัติจัดอยู่ในกลุ่มชุดดินนี้","['Cu', 'Dk']","เป็นกลุ่มชุดดินที่เกิดจากวัตถุต้นกำเนิดดินพวกตะกอนลำน้ำ 
                        หรือจากการสลายตัวผุพังอยู่กับที่ ของพวกวัสดุเนื้อหยาบ 
                        พบบริเวณพื้นที่ดอน มีสภาพพื้นที่เป็นลูกคลื่นลอนลาดจนถึงเป็นเนินเขา 
                        เป็นดินลึก มีการระบายน้ำดีมากเกินไป เนื้อดินเป็นพวกดินทราย 
                        สีดินเป็นสีเทา หรือสีน้ำตาลอ่อน และในดินล่าง ที่ลึกมากกว่า 
                        150 ซม. อาจพบเนื้อดินเป็นดินร่วนปนทรายหรือดินร่วนเหนียวปนทราย 
                        บางบริเวณอาจพบจุดประสีต่างๆ ในดินชั้นล่าง ดินมีความอุดมสมบูรณ์ตามธรรมชาติต่ำ 
                        ปฏิกิริยาดินโดยมากจะเป็นกรดจัดถึงเป็นกลาง",ต่ำ,0.4,0.020000000000000004,2.6,26.8,"[5.5, 6.5]",0.2,0.010000000000000002,2.0,19.4,"[5.5, 7.0]",6.5,5.5,7.0,5.5,"มีค่าระหว่าง 1.06-5.75 
                        เปอร์เซ็นต์โดยน้ำหนัก เฉลี่ย 3.11 เปอร์เซ็นต์โดยน้ำหนัก 
                        ภายในความลึก 120 เซนติเมตร จากผิวหน้าดิน
                        (หมายเหตุ ปริมาณน้ำที่พืชใช้ประโยชน์ได้ หมายถึงผลต่างของความชื้นความจุสนามมีค่าพลังงาน 
                        -33 กิโลพาสคาล และความชื้นที่จุดเหี่ยวถาวรมีค่าพลังงาน 
                        -1,500 กิโลพาสคาล)","['1.06', '5.75', '3.11', '120', '33', '1,500']",1.06,5.75,3.11
